Recall,Precision,Threshold
1.0,0.04702627939142462,7.757316e-05
1.0,0.047058823529411764,7.800712e-05
1.0,0.04709141274238227,7.801285e-05
1.0,0.04712404712404712,7.8062556e-05
1.0,0.047156726768377254,7.8425626e-05
1.0,0.04718945176960444,7.850464e-05
1.0,0.04722222222222222,7.913057e-05
1.0,0.0472550382209868,7.928632e-05
1.0,0.04728789986091794,7.933533e-05
1.0,0.04732080723729993,7.9361285e-05
1.0,0.04735376044568245,7.9532736e-05
1.0,0.047386759581881537,8.003571e-05
1.0,0.04741980474198047,8.033269e-05
1.0,0.04745289602233078,8.046471e-05
1.0,0.04748603351955307,8.070109e-05
1.0,0.047519217330538085,8.126715e-05
1.0,0.04755244755244755,8.142058e-05
1.0,0.04758572428271519,8.188996e-05
1.0,0.047619047619047616,8.2221726e-05
1.0,0.04765241765942537,8.23867e-05
1.0,0.047685834502103785,8.291073e-05
1.0,0.047719298245614036,8.304034e-05
1.0,0.047752808988764044,8.309428e-05
1.0,0.04778636683063949,8.320053e-05
1.0,0.04781997187060478,8.338361e-05
1.0,0.04785362420830401,8.373453e-05
1.0,0.04788732394366197,8.380914e-05
1.0,0.04792107117688513,8.398162e-05
1.0,0.047954866008462625,8.428481e-05
1.0,0.04798870853916726,8.437302e-05
1.0,0.0480225988700565,8.442413e-05
1.0,0.0480565371024735,8.4975785e-05
1.0,0.04809052333804809,8.522435e-05
1.0,0.048124557678697805,8.575816e-05
1.0,0.04815864022662889,8.579522e-05
1.0,0.04819277108433735,8.616146e-05
1.0,0.04822695035460993,8.6228116e-05
1.0,0.0482611781405252,8.640995e-05
1.0,0.048295454545454544,8.649643e-05
1.0,0.048329779673063254,8.665874e-05
1.0,0.04836415362731152,8.676417e-05
1.0,0.048398576512455514,8.727741e-05
1.0,0.04843304843304843,8.7334025e-05
1.0,0.048467569493941556,8.7766566e-05
1.0,0.04850213980028531,8.815081e-05
1.0,0.04853675945753034,8.843842e-05
1.0,0.04857142857142857,8.869356e-05
1.0,0.04860614724803431,8.876972e-05
1.0,0.04864091559370529,8.944865e-05
1.0,0.048675733715103794,9.016519e-05
1.0,0.04871060171919771,9.0302514e-05
1.0,0.04874551971326165,9.044972e-05
1.0,0.04878048780487805,9.046257e-05
1.0,0.048815506101938265,9.048448e-05
1.0,0.04885057471264368,9.051227e-05
1.0,0.04888569374550683,9.066111e-05
1.0,0.04892086330935252,9.068999e-05
1.0,0.04895608351331893,9.124681e-05
1.0,0.04899135446685879,9.152847e-05
1.0,0.049026676279740444,9.153894e-05
1.0,0.049062049062049064,9.155081e-05
1.0,0.04909747292418772,9.218893e-05
1.0,0.049132947976878616,9.2761155e-05
1.0,0.049168474331164135,9.300969e-05
1.0,0.049204052098408106,9.3061055e-05
1.0,0.049239681390296886,9.3146904e-05
1.0,0.04927536231884058,9.314869e-05
1.0,0.049311094996374184,9.3354276e-05
1.0,0.04934687953555878,9.3492716e-05
1.0,0.04938271604938271,9.397601e-05
1.0,0.04941860465116279,9.40211e-05
1.0,0.04945454545454545,9.450866e-05
1.0,0.049490538573508006,9.5028015e-05
1.0,0.049526584122359794,9.5365525e-05
1.0,0.04956268221574344,9.6960415e-05
1.0,0.049598832968636035,9.724821e-05
1.0,0.049635036496350364,9.749603e-05
1.0,0.04967129291453616,9.806059e-05
1.0,0.049707602339181284,9.8333825e-05
1.0,0.04974396488661302,9.8660785e-05
1.0,0.04978038067349927,9.897381e-05
1.0,0.04981684981684982,9.9251774e-05
1.0,0.04985337243401759,9.926257e-05
1.0,0.049889948642699924,9.9382e-05
1.0,0.049926578560939794,9.9482786e-05
1.0,0.04996326230712711,9.96363e-05
1.0,0.05,9.993614e-05
1.0,0.05003679175864607,0.00010034455
1.0,0.050073637702503684,0.00010040619
1.0,0.050110537951363304,0.00010069345
1.0,0.05014749262536873,0.00010133682
